full_name,gender,state
Jaclyn Medley,F,Texas
Robert Davis,M,New York
Theodore Coble,M,Connecticut
Carly Gann,F,Virginia
Norman Miller,M,Arkansas
Louann Eckman,F,Arizona
Nicole Abbe,F,Connecticut
Harris Owings,M,Arkansas
Cameron Rainwater,M,Arizona
Tony Maser,M,Texas
Wanda Fountain,F,Nevada
Louis Cheek,M,Colorado
Lisa Porto,F,Georgia
Lawrence Forrest,M,Georgia
Margaret Noblitt,F,Colorado
Gabriel Wardwell,M,Nevada
James Major,M,New Jersey
Charlene Letchworth,F,Arizona
Jimmy Sevillano,M,Virginia
Virgilio Booker,M,Arizona
Ella Deleo,F,Georgia
Michael Adams,M,Arizona
Rod Laude,M,Florida
Nettie Ford,F,Florida
Kandis Williams,F,Nevada
Lizeth Brown,F,Texas
Denise Mercado,F,Texas
Jennifer Stallcup,F,Nevada
Kristy Borcherding,F,Florida
Roosevelt Jones,M,Georgia
Kevin Ahrens,M,Alaska
Jonathan Cunningham,M,New York
Nicolas Fletcher,M,Nevada
Adah Davidson,F,Nevada
Maureen Saucier,F,New Jersey
Jacqueline Martin,F,New Jersey
Alan Terry,M,Georgia
Donald Baldwin,M,Nevada
Kelly Rodgers,F,Arkansas
Jeanette Seal,F,Florida
Helen Parsons,F,New York
Su Diaz,F,Florida
Alan Torbett,M,Virginia
Russell Gordon,M,Nevada
Janet Ricci,F,Florida
Cesar Barnes,M,Alabama
Gayle Lewis,F,Colorado
Brady Bartkowiak,M,Alabama
Martha Czech,F,Arizona
Mattie Hanson,F,Virginia
Leandro Bridges,M,Colorado
Leticia Sanabria,F,Georgia
Mae Hill,F,Arizona
Curtis Alexander,M,Nevada
Maria Filippini,F,Alaska
Willie Patten,M,Connecticut
Debbie Lawson,F,Arkansas
Nicole Rome,F,California
Matthew Wixom,M,California
Edward Miner,M,New York
Diane Butler,F,Alabama
Beverly Williams,F,Arkansas
Paul Allred,M,Arkansas
Robert Deveau,M,Texas
Amanda Roark,F,Arkansas
Cristine Borton,F,Arkansas
Gerald Gonzalez,M,Arkansas
Christina Thurman,F,Georgia
Sandra Choate,F,Arizona
Constance Taylor,F,Connecticut
Mary Jeffries,F,Connecticut
Kurt Summers,M,Texas
Marilyn Whiteford,F,New Jersey
George Sheffield,M,Florida
Thomas Hanlon,M,Georgia
David Harrison,M,Florida
Yvonne Rose,F,Virginia
Rebecca Perez,F,Florida
Regina Pyle,F,Nevada
Laura Goodman,F,Texas
Shirley Plumer,F,Colorado
Robert Cluff,M,Nevada
Maria Enoch,F,Florida
Richard Black,M,Nevada
Angela Glanton,F,New Jersey
Ann Lazzara,F,Alaska
Albert Silas,M,Florida
Charles Urbaniak,M,Virginia
Mary Robinson,F,Arizona
Maria Pereda,F,Alaska
Rosa Schneider,F,Connecticut
Lawrence Lovell,M,Arkansas
Michael Willis,M,Arizona
Sean Halseth,M,Arkansas
Michael Everhardt,M,Colorado
John Mcgee,M,Connecticut
Charles Lindsay,M,New Jersey
Ashley Shulz,F,Texas
Lora Bystron,F,New Jersey
Lamont Daley,M,California
Dennis Green,M,Alabama
Marge Haughney,F,New York
Lillian Reynoso,F,Florida
Tracey Mchattie,M,California
Peter Ward,M,Alaska
Dorothy Jackson,F,Arizona
Alexis Pinkert,F,Connecticut
Dolores Britton,F,New Jersey
Rebecca Pike,F,Alaska
Ella Hood,F,Georgia
Barbara Sevigny,F,Alabama
William Mclean,M,Georgia
John Foster,M,Florida
Jeffrey Brockman,M,Arizona
Ronald Johnson,M,Arizona
Eric Riess,M,Georgia
Lena Johnson,F,California
Jeffrey Beck,M,Texas
Paul Sinn,M,Florida
Coy Hartis,M,Georgia
Mary Jackson,F,Alaska
Darryl Gabriel,M,Alabama
Lucille Mattlin,F,Colorado
Marie Mccarty,F,Florida
Olga Herrera,F,Texas
Erica Jones,F,New York
Kimberly Hopkins,F,New Jersey
Donna Sand,F,Florida
Karen Mccall,F,Alabama
Ivana Williamson,F,Nevada
Christopher Strickland,M,Alabama
Michael Corder,M,Georgia
Louis Rivera,M,Georgia
Edwin Johnson,M,Nevada
Linda Tracy,F,California
Joseph Satterwhite,M,Connecticut
Lloyd Dwyer,M,California
Alicia Duncan,F,Virginia
Dannie Mckinnon,M,Alaska
Sylvester Mctigue,M,New York
Christina Diaz,F,Colorado
Cheryl Guttirez,F,Nevada
Sandra Finch,F,Virginia
Annette Bradley,F,New York
Carl Ammon,M,Arizona
Judy Leary,F,California
Robert Cordova,M,Colorado
Phyllis Allen,F,New Jersey
Scott Canela,M,Texas
Willard Gladwin,M,Colorado
Nancy Lambert,F,Alabama
Elizabeth Thomas,F,New York
Robert Gutierrez,M,Arizona
David Obyrne,M,Connecticut
David Lewis,M,Colorado
Pamelia Biddle,F,Arizona
Heather Coy,F,Florida
Samuel Jensen,M,Virginia
Brianna Hodges,F,Nevada
Judy Miles,F,Texas
Julianna Shea,F,Arkansas
Teresa Frye,F,Nevada
Thomas Campbell,M,Florida
Kenneth Taylor,M,Connecticut
James Buckman,M,Alaska
Paul Blum,M,Arizona
Winifred Shoemaker,F,Alabama
Nancy Wilson,F,New York
Donna Petronella,F,Alabama
Ines Sotak,F,Texas
Julia Weisman,F,Texas
Robert Ochoa,M,New Jersey
Linda Doherty,F,Nevada
Tiffany Robles,F,Texas
Vera Shepard,F,Arizona
Douglas Glass,M,New York
Ramon Oreilly,M,Connecticut
Jose Song,M,Florida
Matthew Rocco,M,New York
Molly Gorham,F,California
Kathy Collinson,F,New Jersey
James Keener,M,Texas
Jennifer Loiacono,F,New Jersey
Belinda Dixon,F,Alaska
Louis Callahan,M,California
Sydney Lau,M,Nevada
Denise Morgan,F,Colorado
Shannon Elson,F,Nevada
Ruth Bond,F,Colorado
Justin Parker,M,New York
Billy Johnson,M,Alaska
Aida Kovacs,F,New Jersey
Michael Berner,M,New Jersey
David Kelly,M,Georgia
Cynthia Vanhorn,F,New Jersey
Jerry Swilling,M,Georgia
Claude Lewis,M,Alaska
Susanne Perkins,F,California
Kimberly Blaise,F,Georgia
David Obrien,M,New York
George Campbell,M,Nevada
Marsha Enriquez,F,Nevada
Karen Turner,F,Georgia
Jackie Cathey,M,Arizona
Fernando Bogucki,M,Alabama
Oscar Smith,M,Florida
Gina Boutte,F,Arkansas
Carina Davis,F,Florida
Alejandro Beezley,M,Texas
George Larkin,M,Nevada
Eva Morey,F,New Jersey
Linda Rich,F,New Jersey
Loyd Dyer,M,New Jersey
Neil Ullman,M,California
Jacob Beach,M,Colorado
Dante Penny,M,Alabama
Evelyn Mcclure,F,Nevada
Mary Meldrum,F,Florida
Scott Mccullough,M,Connecticut
Richard Williamson,M,Virginia
Seth Shields,M,Texas
Thurman Williams,M,Florida
Adrian Speck,F,Alabama
David Dillard,M,Alabama
John Hardin,M,Texas
Evette Pilla,F,Arkansas
Tiffany Ramirez,F,New Jersey
James Jara,M,Florida
Anita Moore,F,Arkansas
Carlos James,M,New York
Nichole Pfeifer,F,Arizona
Mike Tackett,M,California
Jim Redner,M,Connecticut
Dennis Hussey,M,New York
Jerome Crum,M,Texas
Lillian Diaz,F,Connecticut
Patrick Gibbons,M,Arizona
Elizabeth White,F,Arizona
Audrey Arriaga,F,California
Colin Hopkins,M,Nevada
Robert Feld,M,Florida
Steve Klepchick,M,Alaska
Jessica Mahnken,F,Arkansas
Donald Vazquez,M,Alabama
Steven Sparks,M,Nevada
Pearl Santana,F,California
Leslie Tait,F,Connecticut
Russell Nixon,M,Nevada
Leonard Jimenez,M,New Jersey
Alvin Spohr,M,Arizona
Cynthia Allen,F,Virginia
Anthony Goyne,M,New Jersey
Eva Thomas,F,Georgia
Samuel Figueroa,M,Virginia
Michelle Johnson,F,Texas
Antonio Suiter,M,Virginia
Sandra Saxe,F,Arkansas
Kenneth Green,M,New York
Rick Dominguez,M,Georgia
Theresa Banh,F,Connecticut
Beth Vandyke,F,Colorado
Jessie Clark,F,Connecticut
Marcus Starrs,M,California
Mamie Andersen,F,California
Stephanie Hawthorne,F,Alaska
David Poff,M,Georgia
Lavon Campbell,F,Arizona
William Santos,M,Texas
Geraldine Morris,F,New Jersey
Alice Joyce,F,Georgia
Corrine Ladage,F,Virginia
Howard Lor,M,Georgia
Elaine Senegal,F,Georgia
Evan Reder,M,Alaska
Shane Parker,M,New Jersey
Edwin Klingel,M,Nevada
Virgie Rodriquez,F,Alaska
Rosario Beardsley,F,Arkansas
Edgar Williams,M,New Jersey
Kelly Stark,F,Virginia
Jacob Wert,M,Nevada
William Grant,M,Texas
Justin Harrison,M,Arkansas
Clarence Eley,M,Georgia
Bryant Massey,M,Florida
Brian Limerick,M,Alabama
Bill Everette,M,Nevada
Dorothy Higgins,F,Nevada
Mary Bickham,F,California
Dustin Kemmerer,M,Alaska
Emma Delgado,F,Virginia
Mary Diaz,F,Arizona
Carrie Bernat,F,Virginia
John Serrano,M,Florida
Donald Miller,M,Alabama
Shirley Sprung,F,Florida
Janice Britt,F,Colorado
Corey Cossey,M,Georgia
Julie White,F,Colorado
Patricia Salinas,F,Nevada
Randal Kinsey,M,Alaska
Maryann Frederick,F,Nevada
Mary Boulanger,F,Alaska
Justin Beckler,M,Arizona
Robert Lofton,M,Nevada
Rebecca Scott,F,New Jersey
John Mckenzie,M,Nevada
Charmaine Padilla,F,Virginia
Mary Ramos,F,Arkansas
Melissa Daniel,F,Texas
Richard Smith,M,Nevada
Nathaniel Lucas,M,Arkansas
Lorraine Davis,F,New Jersey
Robert Goldberg,M,Texas
Sandra Endsley,F,Georgia
Devon Koetter,F,Florida
Jeanette Ruiz,F,Nevada
Minnie Moyers,F,Texas
Mary Noland,F,Alabama
Angela Harvey,F,Georgia
Carmen Cooper,F,New York
Katie Guignard,F,Alaska
Christopher Rice,M,Nevada
Stephen Hodgdon,M,Nevada
Lloyd Marshall,M,New York
Virginia Farris,F,Virginia
Toby Kendrick,M,New Jersey
Janette Banda,F,Nevada
Paulette Birnbaum,F,New York
Harvey Ellis,M,Georgia
Alvin Jacobs,M,Texas
Thomas Damato,M,Arizona
Carole Ochwat,F,Alabama
Judy Carter,F,Nevada
Fran Speights,F,Alaska
Norman Villanova,M,Georgia
Sandra Melo,F,Colorado
Crystal Capulong,F,Alabama
Ellen Hawks,F,Arkansas
George Henriquez,M,Alabama
Roger Howard,M,Arizona
Mildred Perry,F,Nevada
Gerald Caudill,M,Florida
Kristen Rodriguez,F,Alabama
Patrick Wolf,M,Nevada
Joseph Hsu,M,Virginia
Stephanie Mcdaniel,F,New Jersey
Jerome Marshall,M,Arizona
Cindy Hankins,F,Georgia
Norbert Shelton,M,Georgia
Mary Landing,F,Alabama
Kevin Kaba,M,Virginia
Shawn Dilorenzo,M,New Jersey
Joyce Patterson,F,Texas
Thomas Alley,M,New Jersey
Mary Montgomery,F,Florida
Megan Mcnulty,F,Arkansas
Keith Utz,M,Arkansas
Lawrence Lyerly,M,Arizona
Michael Moore,M,California
Tara Gibson,F,Colorado
Ernest Bright,M,Arkansas
Gina Monat,F,New York
Marva Wedderburn,F,Connecticut
Bertha Nichols,F,New Jersey
Frances Fleeger,F,Connecticut
Wilbur Cruz,M,Arkansas
Kellie Davis,F,Alabama
Michael Abbott,M,Arizona
Veronica Braden,F,Colorado
Kristen Whitmire,F,California
Jeffrey Simpkins,M,Arizona
Norma Weldon,F,Georgia
Margaret Senne,F,Connecticut
Bryan Harris,M,Connecticut
Anthony Marquez,M,Connecticut
John Johnson,M,New Jersey
Lola David,F,Florida
Michael Ellingson,M,Colorado
Vickie Jim,F,New Jersey
Pauline Rodriguez,F,California
Michael Rodriguez,M,Florida
Anne Reid,F,Alabama
Jerry Harter,M,Alabama
James Ezzo,M,Colorado
Susan Cooper,F,Connecticut
Bruce Clark,M,Nevada
Andrew Craig,M,New Jersey
Richard Vaughn,M,Florida
John Janusz,M,New York
Ernest Hernandez,M,Colorado
Edward Guzman,M,Georgia
Florence Kaeo,F,Nevada
Barbara Holbrook,F,Arkansas
Margaret Murphy,F,Georgia
Will Deacon,M,Florida
Cynthia Pereira,F,Georgia
Gwendolyn Williams,F,Nevada
Teresa Reay,F,Alaska
Erika Branz,F,Connecticut
David Nails,F,New York
Gwendolyn Rhoades,F,Connecticut
Earl Tyler,M,Arizona
Clifford Edwards,M,Connecticut
James Selover,M,Connecticut
Ida Birchler,F,Texas
Scott Shaw,M,Alaska
Lois Creek,F,California
Marshall Mckillop,M,Texas
Shirley Galioto,F,New Jersey
Thelma Parker,F,Alabama
Joseph Murphy,M,Alabama
Christine Ayre,F,Alabama
Glenn Sullivan,M,Virginia
Florence Torres,F,Alaska
Tameka Mckenney,F,Arizona
Erin Reynolds,F,Nevada
Linda Yang,F,Arizona
Justine Harper,F,Connecticut
Isela Dean,F,Florida
Samuel Breaux,M,Alabama
Ada Steward,F,Alaska
Phyllis Myers,F,Arkansas
Wallace Thomas,M,New Jersey
Elaine Hartfield,F,New Jersey
Socorro Davis,F,California
William Hubbert,M,Florida
Donald Gallegos,M,Arizona
Gwendolyn Pegues,F,Georgia
William Thompson,M,Nevada
Elizabeth Worley,F,New Jersey
Mary Stanesic,F,New Jersey
Jesse Nixon,M,Nevada
Rebecca Norman,F,Connecticut
Margaret Militello,F,California
Charles Toppin,M,Texas
Michael Newman,M,Georgia
Georgia Harrist,F,New Jersey
Peggy Sipes,F,Virginia
Robert Hashimoto,M,Texas
Linda Gerardi,F,Arkansas
Beverly Burnett,F,Florida
Marcus Davis,M,Colorado
Rosetta Hampton,F,New York
Dennis Adams,M,California
Jose Gilley,M,Texas
Edwin Stepp,M,New Jersey
Linda Adams,F,Texas
Yolanda Maung,F,New York
Brant Lahay,M,Georgia
Amber Cambell,F,California
Robert Baskin,M,New York
Kenneth Davis,M,Virginia
Fidel Peters,M,New Jersey
Thomas Adams,M,New York
Jeffrey White,M,New York
Mary Gorman,F,Florida
Alejandra Hubert,F,Nevada
James Brown,M,Alaska
Thomas Percy,M,Virginia
Mary Rodkey,F,Arizona
Richard Menendez,M,Florida
Tammy Spillane,F,Georgia
Laura Wunderlich,F,New York
Aubrey Schroeder,M,Arkansas
Donald Owens,M,Arizona
George Riebel,M,New York
Jeffrey Ealy,M,Connecticut
Jill Pring,F,California
Jennifer Rogers,F,Virginia
Margaret Daniels,F,Alaska
Nancy Tindall,F,Connecticut
Sandra Jones,F,California
Ken Greenberg,M,Texas
Stanley Shipman,M,Arkansas
Sidney Paoletti,M,New York
Ann Keyes,F,Virginia
Martha Depew,F,Arizona
George May,M,Alaska
Steven Williams,M,Connecticut
Francesca King,F,New York
Deeanna Tomaszewski,F,Florida
Pearl Wilson,F,California
Della Smith,F,New Jersey
Thomas Twichell,M,New York
Lorraine Mccrary,F,New York
Willie Shaw,M,Nevada
Rosemarie Dominique,F,Virginia
George Simmons,M,Florida
Roberta Churchwell,F,New York
Angelina Crowder,F,Alaska
Colin Siebert,M,Virginia
Frances Dean,F,New Jersey
Jessica Delacruz,F,Connecticut
Elizabeth Bagaoisan,F,Colorado
Helen Nelson,F,New Jersey
Cynthia Williams,F,Nevada
Robbie Martin,F,New Jersey
Sandra Reda,F,New York
Myrtle Farfaglia,F,New York
Hazel Chute,F,Alabama
Frank Miguel,M,California
Debra Brass,F,Georgia
Valerie Fisher,F,Arizona
Orval Hall,M,Colorado
Bernice Ramirez,F,Alabama
Justin Stemper,M,Arizona
Joseph Nalepa,M,Connecticut
Roberto Smith,M,Florida
Herman Anderson,M,Alabama
Lisa Oneil,F,Florida
Melissa Shaver,F,Connecticut
Annette Thomsen,F,Alabama
Carmen Denton,F,Georgia
Georgia Dunn,F,Arkansas
Genevieve Mann,F,Arizona
Jacqueline Hardy,F,Texas
Beverly Daley,F,Arkansas
Martin Morissette,M,Alabama
Martha Williams,F,Alaska
Mary Wilson,F,Alaska
Homer Horton,M,Alaska
Leon Jones,M,Texas
Nicole Davis,F,Nevada
Steven Parker,M,New York
Hilda Solomon,F,Alaska
Mary Bess,F,Florida
Jessica Boggs,F,Alabama
Lisa Brailey,F,California
Arthur Wick,M,New Jersey
Penny Gagne,F,Alabama
Debbie Sloan,F,New York
Dennis Byron,M,Texas
Marcia Reyes,F,Florida
Dominick Meadows,M,New Jersey
Ying Beavers,F,New Jersey
Judith Irby,F,Texas
Sean Shoemake,M,Alaska
Kendrick Varner,M,Texas
Michael Ekberg,M,Connecticut
Dean Via,M,Alaska
John Jensen,M,Nevada
Jason Ramey,M,New York
Mabel Kidd,F,Georgia
William Ghaemmaghami,M,Colorado
Clyde Tucker,F,Texas
Clorinda Wick,F,California
Marjorie Lopez,F,Nevada
John Greer,M,Alabama
Deanna Lail,F,Alabama
Tony Contos,M,Arkansas
Steven Burns,M,California
Noah Eck,M,New York
Arnold Seitz,M,Texas
Barbara Magee,F,Colorado
Gertrude Smith,F,Alabama
Janet Lehmann,F,California
Jessica Dixon,F,Arizona
Dolores Ling,F,Colorado
Richard Bryan,M,Virginia
Betty Babel,F,New Jersey
Julia Caudle,F,Colorado
Scot Harris,M,Connecticut
Jason King,M,Nevada
Harry Nolin,M,Arkansas
Richard Tolbert,M,Texas
Archie Rosado,M,Colorado
Tyler Siddon,M,Florida
Kevin Smith,M,New Jersey
Miguel Amoa,M,New York
Estelle Phillips,F,New Jersey
Richard Mulvey,M,Florida
Charles Berhe,M,Arkansas
Elizabeth Fenstermacher,F,California
Tracy Kim,F,Nevada
David Bratcher,M,Arizona
Walter Lattimore,M,Colorado
Sergio Osborn,M,California
Jason Alonso,M,New Jersey
Thomas Mcelrath,M,Arkansas
Kathy Padmore,F,Alaska
Theodore Romero,M,Alabama
Peter Torres,M,Alabama
Brandon Kaplan,M,Alaska
Zachary Hudson,M,Connecticut
Eufemia Toney,F,Alaska
Franklin Vargas,M,Virginia
Clarence George,M,Virginia
Connie Carter,F,Georgia
Phillip Williams,M,New Jersey
David Maloney,M,Virginia
Joseph Pitts,M,Colorado
Daniel Hagen,M,Alabama
Kim Hamer,F,Texas
Jackie Beu,M,Nevada
Robert Ridgeway,M,Georgia
Lucas Frick,M,New York
Brian Anderson,M,Arkansas
Martha Brown,F,Virginia
Gerald Hayes,M,Colorado
Jerry Stewart,M,California
Helen Huse,F,Nevada
Robert Gunstream,M,Texas
Joseph Scherman,M,Arizona
Tammy Hanna,F,Florida
Amber Rummel,F,New York
Kenneth Stathopoulos,M,Colorado
Scott Woodhouse,M,New York
Hans Wilson,M,Georgia
Timothy Sanchez,M,Georgia
Andrew Resnick,M,Colorado
Florence Freedman,F,Colorado
Mauricio Boyer,M,Connecticut
Darlene Clouse,F,Texas
Kimberly Beebe,F,Arkansas
Amy Ross,F,Florida
Aleta Brown,F,Arkansas
Ashley Wright,F,Virginia
Tommy Zirkle,M,Arkansas
James Mccarthy,M,Arizona
Sonia Torres,F,Georgia
James Williams,M,New Jersey
Del Willett,M,Florida
Michael Johnson,M,California
Alex Ledoux,M,Florida
Jacqueline Debarge,F,Virginia
Scott Bone,M,Virginia
Manuel Cheney,M,Alabama
Sonia Welch,F,Alabama
Raul Lew,M,Colorado
Shawn Edwards,M,Nevada
Scotty Rutledge,M,New Jersey
David Gladden,M,Connecticut
Mary Swafford,F,Connecticut
Debra Wildey,F,New Jersey
Opal Chandler,F,Nevada
Mary Tademy,F,Nevada
Jose Brown,M,Virginia
Beverly Gomez,F,New York
Patricia Mirza,F,Nevada
Erma Shapiro,F,New Jersey
Michael Latour,M,Texas
Andrew Gantt,M,Alabama
Mary Muszynski,F,Arkansas
Jennie Walls,F,Nevada
Edwin Parker,M,Arizona
Bao Santini,F,Nevada
Robert Fisher,M,New Jersey
Greg Schaedler,M,Arizona
Toni Small,F,New York
Vernon Thomas,M,Arkansas
Tawana Lopez,F,California
Bobby Martinez,M,Georgia
Bonnie Koll,F,New York
Barbara Parker,F,Arizona
Catherine Moreno,F,California
Otto Locke,M,Georgia
Max Watson,M,Virginia
Christopher Ashcraft,M,Florida
Raymond Nguyen,M,Alabama
Alan Robinson,M,Arizona
Christine Melchor,F,Arizona
Marie Sargent,F,Florida
Thomas Anderson,M,Colorado
Jason Magic,M,Nevada
William Stone,M,Alaska
Willie Kelly,M,California
Patricia Terrell,F,California
Russell Pacheco,M,New Jersey
Charles Truitt,M,New Jersey
Michelle Diaz,F,Arizona
George Ruffin,M,New York
Ruby Ketcher,F,Virginia
Claire Carmen,F,Virginia
Gregorio Macnaught,M,California
Kevin Beck,M,Arkansas
Jillian Reid,F,Texas
Margaret Snow,F,Virginia
James Lamp,M,Alaska
Michael Dillon,M,Alaska
Thomas Waite,M,Arizona
Jackie Ehrlich,F,Virginia
Shirley Perez,F,Georgia
Lauren Schulz,F,California
Brian Harris,M,Florida
Shari Schryer,F,Florida
Nelson Jones,M,Virginia
William Day,M,Texas
Jamison Quinn,M,Georgia
Ramon Dorn,M,Florida
Brandy Gonzalez,F,New York
Mark May,M,New York
Yvonne Culpit,F,Arkansas
Pedro Pentz,M,Arizona
William Jones,M,Nevada
Mark Aplin,M,Alabama
Billy Scott,M,Texas
Nancy Bilbrey,F,New York
Jesse Squires,M,Nevada
Latrina Kratzer,F,New Jersey
Richard Bowen,M,Georgia
Gladys Rozier,F,Alabama
Paula Fuoco,F,New York
Irene Satmary,F,Connecticut
Sue Nelson,F,Alaska
Anastasia Garvin,F,Georgia
Latoya Fuentes,F,Virginia
Daniel Mckenney,M,Georgia
Misty Ollig,F,Alaska
George Bradley,M,Arkansas
Shelley Bryson,F,Texas
Garnett Dahms,F,Virginia
Anne Karg,F,Florida
David Voorhies,M,New Jersey
Tonya Smith,F,Colorado
Mark Sano,M,California
Charity Evans,F,California
Elisabeth Stoller,F,Colorado
Tyrone Wadusky,M,New Jersey
Barbara Rozier,F,Colorado
Joey Scott,M,Colorado
Alesia Clark,F,Texas
Michael West,M,California
Nicole Baxley,F,Connecticut
Roy Post,M,New Jersey
Calvin Jones,M,Georgia
Charles Musetti,M,Alaska
Charles Hollifield,M,Arkansas
Mark Wagner,M,Texas
Steven Shumate,M,Arkansas
Vincent Owens,M,Arkansas
Lorine Edwards,F,Georgia
John Twichell,M,California
Candy Laforest,F,Virginia
Alma Clever,F,New Jersey
Laura Rezac,F,Arkansas
Paul Anderson,M,Georgia
Luis Harting,M,Alaska
Joel Champagne,M,New York
Betty Kenny,F,Georgia
Jeffrey Palacios,M,Florida
Robert Castrellon,M,Alabama
Claire Fish,F,New York
Geraldine Coe,F,Arkansas
Carla Lima,F,Nevada
Ricardo Brooks,M,New Jersey
Ethel Williams,F,Arizona
Debora Gray,F,Alabama
Julio Bryant,M,Arizona
Douglas Rook,M,Nevada
Jeffrey Haven,M,New York
Fred Sutter,M,Texas
Frances Foster,F,Alabama
Sharon Burns,F,Colorado
Loretta Rocker,F,Colorado
Edward Chase,M,California
Yvonne Rodriguez,F,Texas
Jose Mccarthy,M,New York
Cori Celedon,F,Connecticut
Jean Baumbach,F,Nevada
Rufus Woodson,M,Alaska
Jannette Jost,F,Nevada
Gretchen Janson,F,Alabama
David Christman,M,Georgia
Ellen Luna,F,California
Denise Hull,F,New York
Christine Kozlowski,F,Alaska
Marina Bonar,F,Arizona
Mary Johnson,F,Connecticut
George Cowan,M,Alabama
Latonya Windom,F,Georgia
Ruth Moser,F,California
Carol Bagen,F,Connecticut
Edwin Ortiz,M,Arizona
Winnie Ramgel,F,Alabama
Fred Morrow,M,Florida
Donald Wilson,M,Florida
Maria Swanner,F,Arizona
Richard Andrews,M,Nevada
Peter Lewis,M,Alaska
Mellisa Setser,F,Alaska
Patrick Kiffer,M,Arkansas
Alan Harvey,M,Alaska
Amado Beauchemin,M,Florida
Clara Hershenson,F,Virginia
Janet Scott,F,Colorado
Bonnie Radice,F,Arizona
Vickie Secrest,F,Georgia
Andrew Liu,M,Colorado
Norman Blanding,M,Arkansas
James Reid,M,Georgia
Jennifer Peek,F,Alabama
Hazel Smith,F,Alabama
Samual Laird,M,Virginia
Joanne Mohan,F,New Jersey
David Bruning,M,Arkansas
Margaret Nevills,F,Florida
Carolyn Steinman,F,Arizona
Duane Kennett,M,California
Christopher Beam,M,New Jersey
Silvia Young,F,Connecticut
Thelma Hall,F,Virginia
Crystal Chavis,F,New Jersey
Dorothy Maio,F,Texas
Kristin Fulghum,F,Alaska
Opal Boone,F,New Jersey
Donald Cosley,M,Virginia
John Vega,M,Georgia
Antonio Carlton,M,Colorado
Clyde Lewis,M,New Jersey
Debra Smith,F,Arizona
Joseph Mattioli,M,Arizona
Thomas Ranson,M,Arkansas
Robert Heald,M,Connecticut
Joseph Lopez,M,Georgia
Andrew Hatt,M,New York
Vincenza Wilkes,F,New York
Russell Juarez,M,Connecticut
Otis Lee,M,Virginia
James Perona,M,Florida
Mary Williams,F,Georgia
Carol Cook,F,New York
Kristi Mosley,F,Connecticut
Verona Hewitt,F,Georgia
William Ladner,M,Alabama
Joseph Berry,M,Virginia
Kevin Carew,M,Texas
Aaron Wang,M,Alaska
Jennifer Leverette,F,Virginia
Sharon Claypool,F,Nevada
Randy Lewis,M,Connecticut
Cruz Hendrickson,M,Arkansas
Joseph Hansen,M,Georgia
Dorothy Briggs,F,Nevada
Margaret Delgado,F,Alabama
Allen Talley,M,Florida
Jana Swaine,F,Georgia
Deanna Thacker,F,New York
Belinda Avina,F,Connecticut
Adam Gatlin,M,California
Laura Thompson,F,Florida
John White,M,New Jersey
Daniel Monroe,M,Alabama
Sheila Cooper,F,Connecticut
Keith Hardy,M,Florida
Keith Leach,M,New York
Robert Russell,M,Georgia
Willie Pollard,M,Alabama
Janett Lopez,F,Alaska
Nancy Massa,F,Texas
Lynn Wald,F,Georgia
Earl Sims,M,Virginia
Joseph Smith,M,Connecticut
Cory Mcgowan,M,Florida
Jimmie Andrews,M,Arkansas
Wesley Scarborough,M,Alaska
Cassandra Salazar,F,Arizona
David Massey,M,Texas
Cynthia Mohead,F,Nevada
Iris Canady,F,Colorado
David Appel,M,New Jersey
Don Bennett,M,California
Gregory Westerman,M,Florida
Irma Odell,F,Georgia
Dee Dawson,F,California
Willis Browder,M,New Jersey
Dora Fowler,F,Georgia
Aaron Lyndon,M,Alabama
Sam Williamston,M,Georgia
Randy Mihm,M,Arkansas
Jeannine Johnson,F,Florida
Rachel Maynor,F,Connecticut
Jose Mabry,M,Florida
Joe Carmody,M,Arkansas
Timothy Pere,M,Connecticut
Michael Gowers,M,Texas
Scottie Ogorman,M,Connecticut
Christopher Gaynor,M,Nevada
Gertrude Davila,F,Virginia
William Runyon,M,Colorado
Carlos Pugmire,M,Virginia
Nathaniel Hicks,M,California
Carmen Graves,F,Connecticut
Jackie Tufano,M,Colorado
Marilyn Leonhart,F,Georgia
Naomi Lewis,F,Florida
John Gurrola,M,New Jersey
Rogelio Foreman,M,Texas
Judy Montelongo,F,Texas
Virginia Morton,F,Arkansas
Carol Byers,F,Arizona
Richard Lenz,M,Alaska
Curtis Miller,M,Colorado
James Coyle,M,Texas
Pamela Dominquez,F,New Jersey
Damon Mitchell,M,New York
Sandra Pecoraino,F,Colorado
Bill Spinks,M,Alabama
Steven Holmes,M,Arkansas
Gladys Rogan,F,Alaska
Julie Hepburn,F,California
Linda Garcia,F,Florida
Ernest Delacruz,M,Virginia
Johnny Mullins,M,Alaska
Rodolfo Smith,M,Arkansas
Sunday Atkinson,F,Colorado
James Pimental,M,Texas
John Frost,M,New Jersey
Brian Wood,M,Arizona
Kenneth Ayala,M,Florida
Sandy Kopacz,F,New Jersey
Steven Johnson,M,California
Jennifer Lewandowski,F,New Jersey
Dorothy Burke,F,New Jersey
Dora Wade,F,Nevada
Melissa Stubbs,F,California
Aaron Trice,M,Arizona
Benjamin Stevens,M,New York
Danny Loughborough,M,Nevada
Norman Bower,M,California
Eric Myers,M,Arkansas
Walter Scheffler,M,Arizona
Cherise Caskey,F,California
Roderick Shults,M,Texas
